Teams,Rating
"arizona-cardinals,carolina-panthers,jacksonville-jaguars",91.37
"cincinnati-bengals,green-bay-packers,jacksonville-jaguars",91.43
"cincinnati-bengals,new-orleans-saints,new-york-jets",91.43
"cincinnati-bengals,los-angeles-chargers,new-orleans-saints",91.44
"cincinnati-bengals,los-angeles-chargers,new-york-jets",91.44
"cincinnati-bengals,denver-broncos,new-orleans-saints",91.45
"cincinnati-bengals,denver-broncos,new-york-jets",91.46
"cincinnati-bengals,jacksonville-jaguars,los-angeles-chargers",91.46
"cincinnati-bengals,los-angeles-chargers,minnesota-vikings",91.46
"cincinnati-bengals,green-bay-packers,los-angeles-chargers",91.47
"cincinnati-bengals,indianapolis-colts,los-angeles-chargers",91.49
"cincinnati-bengals,new-york-giants,new-york-jets",91.49
"cincinnati-bengals,denver-broncos,jacksonville-jaguars",91.50
"carolina-panthers,cincinnati-bengals,new-orleans-saints",91.51
"carolina-panthers,los-angeles-chargers,minnesota-vikings",91.52
"cincinnati-bengals,jacksonville-jaguars,new-york-jets",91.52
"denver-broncos,new-orleans-saints,new-york-jets",91.60
"carolina-panthers,jacksonville-jaguars,los-angeles-chargers",91.62
"arizona-cardinals,jacksonville-jaguars,los-angeles-chargers",91.63
"los-angeles-chargers,new-york-giants,new-york-jets",91.63
"arizona-cardinals,denver-broncos,jacksonville-jaguars",91.64
"jacksonville-jaguars,los-angeles-chargers,minnesota-vikings",91.65
"cincinnati-bengals,los-angeles-chargers,new-york-giants",91.66
"arizona-cardinals,cincinnati-bengals,jacksonville-jaguars",91.67
"los-angeles-chargers,minnesota-vikings,tennessee-titans",91.67
"cincinnati-bengals,green-bay-packers,houston-texans",91.69
"cincinnati-bengals,jacksonville-jaguars,seattle-seahawks",91.69
"cincinnati-bengals,los-angeles-chargers,seattle-seahawks",91.69
"carolina-panthers,cincinnati-bengals,new-york-jets",91.70
"carolina-panthers,denver-broncos,jacksonville-jaguars",91.70
"cincinnati-bengals,denver-broncos,seattle-seahawks",91.70
"green-bay-packers,jacksonville-jaguars,minnesota-vikings",91.70
"cincinnati-bengals,indianapolis-colts,minnesota-vikings",91.71
"cincinnati-bengals,denver-broncos,green-bay-packers",91.72
"cincinnati-bengals,denver-broncos,los-angeles-chargers",91.72
"cincinnati-bengals,houston-texans,new-orleans-saints",91.72
"cincinnati-bengals,new-york-jets,seattle-seahawks",91.72
"denver-broncos,green-bay-packers,jacksonville-jaguars",91.72
"green-bay-packers,jacksonville-jaguars,los-angeles-chargers",91.72
"jacksonville-jaguars,los-angeles-chargers,new-york-jets",91.72
"arizona-cardinals,cincinnati-bengals,new-york-jets",91.73
"cincinnati-bengals,indianapolis-colts,new-york-jets",91.73
"cincinnati-bengals,jacksonville-jaguars,minnesota-vikings",91.73
"cincinnati-bengals,detroit-lions,new-orleans-saints",91.74
"cincinnati-bengals,jacksonville-jaguars,new-orleans-saints",91.74
"cincinnati-bengals,denver-broncos,houston-texans",91.75
"cincinnati-bengals,jacksonville-jaguars,los-angeles-rams",91.75
"carolina-panthers,new-york-giants,new-york-jets",91.76
"carolina-panthers,cincinnati-bengals,los-angeles-chargers",91.77
"cincinnati-bengals,green-bay-packers,new-orleans-saints",91.77
"cincinnati-bengals,minnesota-vikings,new-england-patriots",91.77
"cincinnati-bengals,houston-texans,jacksonville-jaguars",91.78
"cincinnati-bengals,jacksonville-jaguars,washington-commanders",91.78
"denver-broncos,jacksonville-jaguars,new-york-jets",91.78
"los-angeles-chargers,minnesota-vikings,new-york-jets",91.78
"arizona-cardinals,jacksonville-jaguars,los-angeles-rams",91.79
"carolina-panthers,cleveland-browns,jacksonville-jaguars",91.79
"cincinnati-bengals,green-bay-packers,new-york-jets",91.79
"cincinnati-bengals,los-angeles-chargers,tennessee-titans",91.80
"cincinnati-bengals,new-orleans-saints,new-york-giants",91.80
"denver-broncos,jacksonville-jaguars,new-orleans-saints",91.80
"indianapolis-colts,los-angeles-chargers,minnesota-vikings",91.80
"carolina-panthers,los-angeles-chargers,new-york-jets",91.81
"los-angeles-chargers,new-orleans-saints,new-york-jets",91.81
"buffalo-bills,cincinnati-bengals,jacksonville-jaguars",91.82
"buffalo-bills,green-bay-packers,jacksonville-jaguars",91.82
"carolina-panthers,cincinnati-bengals,green-bay-packers",91.82
"cincinnati-bengals,new-england-patriots,new-york-jets",91.82
"jacksonville-jaguars,los-angeles-chargers,new-york-giants",91.82
"arizona-cardinals,green-bay-packers,jacksonville-jaguars",91.83
"buffalo-bills,cincinnati-bengals,indianapolis-colts",91.83
"carolina-panthers,los-angeles-chargers,tennessee-titans",91.83
"cincinnati-bengals,indianapolis-colts,new-orleans-saints",91.83
"cincinnati-bengals,new-orleans-saints,seattle-seahawks",91.83
"denver-broncos,los-angeles-chargers,new-york-jets",91.83
"green-bay-packers,los-angeles-chargers,minnesota-vikings",91.83
"indianapolis-colts,jacksonville-jaguars,los-angeles-chargers",91.83
"indianapolis-colts,los-angeles-chargers,new-york-jets",91.83
"jacksonville-jaguars,los-angeles-chargers,seattle-seahawks",91.83
"los-angeles-chargers,minnesota-vikings,seattle-seahawks",91.83
"cincinnati-bengals,denver-broncos,washington-commanders",91.84
"cincinnati-bengals,jacksonville-jaguars,new-england-patriots",91.84
"cincinnati-bengals,los-angeles-rams,new-york-jets",91.84
"indianapolis-colts,los-angeles-chargers,tennessee-titans",91.84
"arizona-cardinals,jacksonville-jaguars,new-york-jets",91.85
"buffalo-bills,cincinnati-bengals,los-angeles-chargers",91.85
"carolina-panthers,indianapolis-colts,los-angeles-chargers",91.85
"jacksonville-jaguars,los-angeles-rams,new-york-jets",91.85
"los-angeles-chargers,minnesota-vikings,new-england-patriots",91.85
"los-angeles-chargers,new-york-jets,seattle-seahawks",91.85
"buffalo-bills,cincinnati-bengals,green-bay-packers",91.86
"carolina-panthers,cincinnati-bengals,jacksonville-jaguars",91.86
"cincinnati-bengals,denver-broncos,new-england-patriots",91.86
"cincinnati-bengals,minnesota-vikings,seattle-seahawks",91.86
"denver-broncos,jacksonville-jaguars,seattle-seahawks",91.86
"denver-broncos,new-york-jets,seattle-seahawks",91.86
"jacksonville-jaguars,minnesota-vikings,new-england-patriots",91.86
"carolina-panthers,jacksonville-jaguars,minnesota-vikings",91.87
"cincinnati-bengals,green-bay-packers,minnesota-vikings",91.87
"cincinnati-bengals,jacksonville-jaguars,new-york-giants",91.87
"cincinnati-bengals,jacksonville-jaguars,pittsburgh-steelers",91.87
"cincinnati-bengals,los-angeles-chargers,los-angeles-rams",91.87
"denver-broncos,jacksonville-jaguars,los-angeles-chargers",91.87
"jacksonville-jaguars,new-york-giants,new-york-jets",91.87
"new-orleans-saints,new-york-giants,new-york-jets",91.87
"buffalo-bills,cincinnati-bengals,new-york-jets",91.88
"carolina-panthers,cincinnati-bengals,minnesota-vikings",91.88
"carolina-panthers,jacksonville-jaguars,new-york-giants",91.88
"cincinnati-bengals,indianapolis-colts,jacksonville-jaguars",91.88
"jacksonville-jaguars,los-angeles-chargers,los-angeles-rams",91.88
"jacksonville-jaguars,new-york-jets,seattle-seahawks",91.88
"arizona-cardinals,cincinnati-bengals,los-angeles-chargers",91.89
"buffalo-bills,cincinnati-bengals,minnesota-vikings",91.89
"carolina-panthers,cincinnati-bengals,seattle-seahawks",91.89
"carolina-panthers,green-bay-packers,jacksonville-jaguars",91.89
"carolina-panthers,jacksonville-jaguars,new-york-jets",91.89
"carolina-panthers,los-angeles-chargers,new-york-giants",91.89
"carolina-panthers,los-angeles-chargers,seattle-seahawks",91.89
"cincinnati-bengals,green-bay-packers,new-york-giants",91.89
"cincinnati-bengals,green-bay-packers,seattle-seahawks",91.89
"denver-broncos,green-bay-packers,new-orleans-saints",91.89
"los-angeles-chargers,new-york-jets,tennessee-titans",91.89
"carolina-panthers,cincinnati-bengals,new-york-giants",91.90
"cincinnati-bengals,minnesota-vikings,new-york-jets",91.90
"denver-broncos,houston-texans,new-orleans-saints",91.90
"indianapolis-colts,los-angeles-chargers,new-orleans-saints",91.90
"minnesota-vikings,new-york-giants,new-york-jets",91.90
"arizona-cardinals,cincinnati-bengals,denver-broncos",91.91
"arizona-cardinals,cincinnati-bengals,green-bay-packers",91.91
"atlanta-falcons,jacksonville-jaguars,los-angeles-chargers",91.91
"carolina-panthers,denver-broncos,new-orleans-saints",91.91
"carolina-panthers,minnesota-vikings,new-york-jets",91.91
"cincinnati-bengals,cleveland-browns,minnesota-vikings",91.91
"cincinnati-bengals,denver-broncos,new-york-giants",91.91
"green-bay-packers,los-angeles-chargers,new-york-jets",91.91
"buffalo-bills,carolina-panthers,cincinnati-bengals",91.92
"buffalo-bills,cincinnati-bengals,cleveland-browns",91.92
"carolina-panthers,green-bay-packers,los-angeles-chargers",91.92
"carolina-panthers,new-orleans-saints,new-york-jets",91.92
"cincinnati-bengals,minnesota-vikings,tennessee-titans",91.92
"buffalo-bills,green-bay-packers,new-orleans-saints",91.93
"buffalo-bills,jacksonville-jaguars,minnesota-vikings",91.93
"carolina-panthers,jacksonville-jaguars,new-england-patriots",91.93
"cincinnati-bengals,houston-texans,new-england-patriots",91.93
"cincinnati-bengals,los-angeles-chargers,new-england-patriots",91.93
"denver-broncos,jacksonville-jaguars,minnesota-vikings",91.93
"denver-broncos,los-angeles-chargers,new-orleans-saints",91.93
