"Team 1","Team 2","Team 3",Overall
"Arizona Cardinals","Atlanta Falcons","Baltimore Ravens",92.48
"Arizona Cardinals","Atlanta Falcons","Buffalo Bills",92.51
"Arizona Cardinals","Atlanta Falcons","Carolina Panthers",92.15
"Arizona Cardinals","Atlanta Falcons","Chicago Bears",92.67
"Arizona Cardinals","Atlanta Falcons","Cincinnati Bengals",92.00
"Arizona Cardinals","Atlanta Falcons","Cleveland Browns",92.13
"Arizona Cardinals","Atlanta Falcons","Dallas Cowboys",92.50
"Arizona Cardinals","Atlanta Falcons","Denver Broncos",91.87
"Arizona Cardinals","Atlanta Falcons","Detroit Lions",92.13
"Arizona Cardinals","Atlanta Falcons","Green Bay Packers",92.17
"Arizona Cardinals","Atlanta Falcons","Houston Texans",92.41
"Arizona Cardinals","Atlanta Falcons","Indianapolis Colts",92.69
"Arizona Cardinals","Atlanta Falcons","Jacksonville Jaguars",91.64
"Arizona Cardinals","Atlanta Falcons","Kansas City Chiefs",92.19
"Arizona Cardinals","Atlanta Falcons","Las Vegas Raiders",92.18
"Arizona Cardinals","Atlanta Falcons","Los Angeles Chargers",91.77
"Arizona Cardinals","Atlanta Falcons","Los Angeles Rams",92.02
"Arizona Cardinals","Atlanta Falcons","Miami Dolphins",92.63
"Arizona Cardinals","Atlanta Falcons","Minnesota Vikings",92.11
"Arizona Cardinals","Atlanta Falcons","New England Patriots",92.45
"Arizona Cardinals","Atlanta Falcons","New Orleans Saints",92.32
"Arizona Cardinals","Atlanta Falcons","New York Giants",92.28
"Arizona Cardinals","Atlanta Falcons","New York Jets",91.88
"Arizona Cardinals","Atlanta Falcons","Philadelphia Eagles",92.56
"Arizona Cardinals","Atlanta Falcons","Pittsburgh Steelers",92.10
"Arizona Cardinals","Atlanta Falcons","San Francisco 49ers",93.08
"Arizona Cardinals","Atlanta Falcons","Seattle Seahawks",92.06
"Arizona Cardinals","Atlanta Falcons","Tampa Bay Buccaneers",91.88
"Arizona Cardinals","Atlanta Falcons","Tennessee Titans",92.51
"Arizona Cardinals","Atlanta Falcons","Washington Commanders",92.41
"Arizona Cardinals","Baltimore Ravens","Buffalo Bills",92.56
"Arizona Cardinals","Baltimore Ravens","Carolina Panthers",92.31
"Arizona Cardinals","Baltimore Ravens","Chicago Bears",92.56
"Arizona Cardinals","Baltimore Ravens","Cincinnati Bengals",92.28
"Arizona Cardinals","Baltimore Ravens","Cleveland Browns",92.26
"Arizona Cardinals","Baltimore Ravens","Dallas Cowboys",92.53
"Arizona Cardinals","Baltimore Ravens","Denver Broncos",92.00
"Arizona Cardinals","Baltimore Ravens","Detroit Lions",92.25
"Arizona Cardinals","Baltimore Ravens","Green Bay Packers",92.32
"Arizona Cardinals","Baltimore Ravens","Houston Texans",92.44
"Arizona Cardinals","Baltimore Ravens","Indianapolis Colts",92.71
"Arizona Cardinals","Baltimore Ravens","Jacksonville Jaguars",92.01
"Arizona Cardinals","Baltimore Ravens","Kansas City Chiefs",92.04
"Arizona Cardinals","Baltimore Ravens","Las Vegas Raiders",92.41
"Arizona Cardinals","Baltimore Ravens","Los Angeles Chargers",92.22
"Arizona Cardinals","Baltimore Ravens","Los Angeles Rams",92.57
"Arizona Cardinals","Baltimore Ravens","Miami Dolphins",92.53
"Arizona Cardinals","Baltimore Ravens","Minnesota Vikings",92.23
"Arizona Cardinals","Baltimore Ravens","New England Patriots",92.34
"Arizona Cardinals","Baltimore Ravens","New Orleans Saints",92.34
"Arizona Cardinals","Baltimore Ravens","New York Giants",92.47
